iter	Passed	Remaining
0	213	213090
1	214	107135
2	215	71747
3	216	54027
4	218	43394
5	219	36323
6	220	31323
7	222	27554
8	223	24622
9	225	22291
10	226	20374
11	227	18771
12	231	17565
13	233	16418
14	234	15406
15	236	14517
16	237	13733
17	238	13038
18	240	12424
19	241	11857
20	243	11345
21	248	11047
22	250	10623
23	251	10232
24	253	9875
25	254	9540
26	256	9227
27	257	8933
28	258	8660
29	260	8428
30	262	8192
31	263	7970
32	265	7767
33	266	7569
34	267	7381
35	269	7205
36	270	7039
37	274	6938
38	275	6788
39	276	6643
40	278	6506
41	279	6378
42	280	6253
43	282	6135
44	283	6024
45	285	5915
46	289	5879
47	291	5789
48	293	5696
49	297	5659
50	299	5568
51	300	5481
52	302	5397
53	303	5319
54	305	5243
55	306	5166
56	307	5092
57	311	5066
58	313	4998
59	314	4930
60	316	4865
61	317	4801
62	318	4740
63	320	4681
64	321	4623
65	322	4566
66	326	4544
67	328	4500
68	329	4448
69	331	4398
70	332	4348
71	333	4301
72	335	4255
73	336	4210
74	337	4166
75	342	4159
76	343	4118
77	344	4077
78	346	4038
79	347	3999
80	433	4915
81	434	4864
82	435	4807
83	436	4758
84	440	4746
85	443	4710
86	444	4667
87	448	4646
88	449	4606
89	451	4564
90	456	4557
91	457	4518
92	459	4480
93	461	4452
94	463	4414
95	464	4375
96	465	4337
97	467	4300
98	471	4295
99	474	4272
100	476	4243
101	478	4212
102	479	4179
103	481	4144
104	482	4110
105	483	4077
106	488	4080
107	490	4049
108	491	4018
109	492	3988
110	494	3957
111	495	3926
112	496	3896
113	497	3867
114	498	3838
115	503	3836
116	504	3806
117	505	3781
118	507	3754
119	508	3726
120	509	3698
121	509	3669
122	510	3643
123	511	3616
124	512	3589
125	513	3564
126	519	3568
127	520	3545
128	521	3523
129	522	3499
130	523	3475
131	524	3451
132	525	3427
133	526	3403
134	527	3381
135	528	3358
136	535	3373
137	537	3354
138	538	3333
139	539	3312
140	540	3292
141	541	3270
142	547	3280
143	548	3261
144	549	3242
145	551	3223
146	552	3203
147	553	3184
148	554	3164
149	555	3145
150	556	3127
151	557	3108
152	561	3108
153	562	3090
154	563	3072
155	564	3055
156	565	3037
157	566	3019
158	567	3003
159	568	2986
160	569	2967
161	570	2951
162	572	2941
163	573	2925
164	575	2910
165	576	2894
166	577	2878
167	578	2862
168	579	2847
169	580	2831
170	580	2816
171	581	2801
172	587	2809
173	588	2794
174	589	2779
175	590	2765
176	591	2751
177	592	2737
178	593	2723
179	594	2709
180	595	2696
181	596	2683
182	601	2684
